date,value,stderr,sample_size
2021-04-15,0.7849746,0.1161117,5977.9285
2021-04-16,0.7389554,0.1087248,5900.9218
2021-04-17,0.7332478,0.1105378,5790.9178
2021-04-18,0.7584969,0.1243591,5756.9179
2021-04-19,0.7642311,0.1243952,5718.9239
2021-04-20,0.8891663,0.1418934,5671.935
2021-04-21,0.7375259,0.1273319,5549.9517
2021-04-22,0.6642382,0.1245328,5489.9555
2021-04-23,0.7775995,0.1497517,5348.9636
2021-04-24,0.795807,0.1523735,5283.9584
2021-04-25,0.810344,0.1466823,5025.9582
2021-04-26,0.8817657,0.1543624,5083.949
2021-04-27,0.7856442,0.1422058,5024.9448
2021-04-28,0.7982214,0.1430413,5002.9488
2021-04-29,0.9089807,0.1497509,4892.9518
2021-04-30,0.8120629,0.1256692,4864.9498
2021-05-01,0.7637908,0.116905,4809.9553
2021-05-02,0.694042,0.1061934,4937.9563
2021-05-03,0.6243381,0.0973762,4715.9692
2021-05-04,0.5897719,0.1037446,4612.9719
2021-05-05,0.5923787,0.1045053,4504.9641
2021-05-06,0.639963,0.1436918,4516.9603
2021-05-07,0.8610493,0.1742107,4485.9613
2021-05-08,0.9728484,0.1882072,4448.963
2021-05-09,0.9666359,0.188954,4314.9644
2021-05-10,0.9392945,0.1881179,4259.9637
2021-05-11,0.9692813,0.1872687,4219.9629
2021-05-12,1.1030329,0.2083418,4211.9686
2021-05-13,1.1071294,0.1910108,4179.9707
2021-05-14,0.9163117,0.1657593,4159.9664
2021-05-15,0.8550187,0.154596,4126.9675
2021-05-16,0.9127216,0.158413,4138.9654
2021-05-17,1.1073368,0.2095748,4146.9604
2021-05-18,1.1709163,0.2126553,4124.9599
2021-05-19,1.0582242,0.1926034,4098.9596
2021-05-20,1.0272509,0.2075154,4079.959
2021-05-21,1.1028479,0.2162048,4054.9637
2021-05-22,1.0757443,0.2186185,4013.9648
2021-05-23,1.1149027,0.2235991,4012.9627
2021-05-24,0.8946235,0.1762531,4014.9624
2021-05-25,1.0536553,0.3174863,3951.9637
2021-05-26,1.2894128,0.3349101,3948.965
2021-05-27,1.2557446,0.3292407,3852.9673
2021-05-28,1.1956208,0.326082,3834.9615
2021-05-29,1.1387301,0.3216103,3873.9554
2021-05-30,1.0945654,0.3186875,3913.9569
2021-05-31,1.1957896,0.3274182,3910.9557
2021-06-01,0.9620593,0.1860862,3995.9492
2021-06-02,0.8401229,0.1668129,4008.9448
2021-06-03,0.8460358,0.1541939,4155.9416
2021-06-04,0.8789834,0.1570929,4222.9402
2021-06-05,0.9648206,0.1628795,4222.9421
2021-06-06,1.0778466,0.2070712,4256.9368
2021-06-07,1.0084572,0.1968662,4270.9368
2021-06-08,0.976464,0.1963429,4244.9424
2021-06-09,0.8356171,0.1808184,4244.9451
2021-06-10,0.9941617,0.2161608,4156.9486
2021-06-11,0.8749479,0.2088447,4095.9532
2021-06-12,0.8918922,0.2174518,4077.9579
2021-06-13,0.7975033,0.1808203,4031.9604
2021-06-14,0.7463001,0.1757004,3976.9643
2021-06-15,0.9288365,0.1988734,3975.9596
2021-06-16,1.1434024,0.2394153,3957.9509
2021-06-17,0.9753956,0.2088735,3900.9504
2021-06-18,0.9418537,0.2076818,3797.9511
2021-06-19,0.8872692,0.1956554,3691.9441
2021-06-20,0.8160684,0.1896248,3528.9523
2021-06-21,1.0096261,0.2113665,3400.9552
2021-06-22,0.8468403,0.1959967,3222.957
2021-06-23,0.6740566,0.1502934,3081.9675
2021-06-24,0.6643436,0.1522468,2972.9669
2021-06-25,0.8983631,0.1934963,2993.9593
2021-06-26,1.0058311,0.212498,3036.9649
2021-06-27,0.9741656,0.2097011,3150.9642
2021-06-28,0.9195439,0.2175226,3261.9628
2021-06-29,0.9041369,0.2122341,3410.9634
2021-06-30,0.9407618,0.2222597,3561.9585
2021-07-01,1.1224699,0.2438755,3665.9603
2021-07-02,1.0324745,0.221878,3744.9642
2021-07-03,0.9134032,0.2040946,3830.96
2021-07-04,0.9535804,0.2069009,3843.959
2021-07-05,0.8918239,0.1853196,3853.9589
2021-07-06,0.9657743,0.1951531,3896.9615
2021-07-07,1.0218809,0.1872008,3911.9604
2021-07-08,0.9048835,0.1664554,3968.9543
2021-07-09,0.9855091,0.1717677,4024.9569
2021-07-10,0.9914928,0.1756837,4058.9584
2021-07-11,0.9638001,0.1726614,4099.9576
2021-07-12,1.0421057,0.1851532,4148.9527
2021-07-13,0.9770262,0.1783428,4164.9529
2021-07-14,0.8893412,0.1750396,4176.9564
2021-07-15,0.9436703,0.1763037,4161.9574
2021-07-16,0.8074413,0.1653143,4180.9589
2021-07-17,0.9923176,0.1829885,4177.9588
2021-07-18,1.0901162,0.1901255,4262.9598
2021-07-19,0.9503955,0.16917,4346.9529
2021-07-20,0.9488146,0.1652618,4253.9514
2021-07-21,1.0023377,0.1676588,4131.9526
2021-07-22,0.8780627,0.1476318,4485.9529
2021-07-23,1.0126489,0.1517884,4768.94
2021-07-24,0.960663,0.1389568,4891.9295
2021-07-25,1.0389758,0.1420606,4922.9284
2021-07-26,1.1075685,0.1450921,4981.9421
2021-07-27,1.2251141,0.1532035,5220.9393
2021-07-28,1.3210375,0.1559531,5513.9378
2021-07-29,1.3624383,0.1626564,5365.9379
2021-07-30,1.4827853,0.1861187,5191.9433
2021-07-31,1.5563694,0.1851766,5246.9531
2021-08-01,1.6053019,0.1871912,5318.953
2021-08-02,1.7259072,0.1916192,5363.943
2021-08-03,1.9255967,0.2165882,5450.9448
2021-08-04,1.7963992,0.2094751,5571.9406
2021-08-05,1.8944182,0.2081836,5668.9396
2021-08-06,1.8270673,0.1914432,5754.9431
2021-08-07,1.8638842,0.1903753,5932.9406
2021-08-08,1.8524661,0.1940027,6095.9319
2021-08-09,1.8109834,0.1904856,6214.9318
2021-08-10,1.6999987,0.1642053,6274.926
2021-08-11,1.8665558,0.1729365,6389.9286
2021-08-12,1.905587,0.178741,6552.9258
2021-08-13,1.9400427,0.1800461,6707.9248
2021-08-14,2.1055119,0.2267819,6733.9207
2021-08-15,2.0624952,0.2182401,6822.925
2021-08-16,2.1359652,0.2209418,6876.9213
2021-08-17,2.2265851,0.2218246,7022.9174
2021-08-18,2.399268,0.2241784,7042.9028
2021-08-19,2.4804869,0.2237129,7102.9078
2021-08-20,2.4731807,0.2224427,7104.9022
2021-08-21,2.431464,0.1915271,7119.9057
2021-08-22,2.5368963,0.1961629,7139.8988
2021-08-23,2.6239714,0.1985042,7188.9036
2021-08-24,2.5609445,0.1955165,7153.9068
2021-08-25,2.6758622,0.2182838,7138.9228
2021-08-26,2.627337,0.2158911,7112.9148
2021-08-27,2.6074037,0.2153083,7119.915
2021-08-28,2.6140889,0.2083782,7142.9176
2021-08-29,2.7390457,0.2264311,7127.9241
2021-08-30,2.7009173,0.2275057,7138.9251
2021-08-31,2.6045123,0.2274866,7161.9263
2021-09-01,2.3359461,0.2018789,7172.9204
2021-09-02,2.4395018,0.2064094,7099.9207
2021-09-03,2.3639692,0.2017276,7107.9165
2021-09-04,2.2107935,0.1947218,6970.9168
2021-09-05,2.0906446,0.1731405,6911.9098
2021-09-06,2.1893627,0.1838218,6887.9038
2021-09-07,2.1401183,0.1791779,6836.898
2021-09-08,2.1581895,0.1820786,6781.8991
2021-09-09,2.0507295,0.1809825,6700.9047
2021-09-10,2.1114232,0.189835,6598.9135
2021-09-11,2.1151,0.1970822,6603.9052
2021-09-12,2.0214865,0.1938325,6635.9098
2021-09-13,1.7711167,0.1750986,6582.9123
2021-09-14,1.9431957,0.1883694,6456.912
2021-09-15,1.9446303,0.1903801,6383.9198
2021-09-16,2.0097095,0.1992003,6354.9117
2021-09-17,2.0681878,0.2017534,6328.9136
2021-09-18,1.9008639,0.1881569,6240.9205
2021-09-19,1.927026,0.1938171,5964.9241
2021-09-20,1.9031408,0.1933442,5811.9333
2021-09-21,1.787485,0.1848834,5766.9323
2021-09-22,1.6820134,0.1766931,5731.9264
2021-09-23,1.494766,0.159255,5672.9329
2021-09-24,1.3249549,0.1463194,5495.9359
2021-09-25,1.4533849,0.1610164,5436.9345
2021-09-26,1.322193,0.15068,5476.9347
2021-09-27,1.4037041,0.15851,5425.9291
2021-09-28,1.2893908,0.1528308,5347.9417
2021-09-29,1.3395954,0.1670645,5157.94
2021-09-30,1.2588071,0.1657971,5058.9462
2021-10-01,1.3943612,0.175076,5055.9418
2021-10-02,1.8773107,0.6735448,5010.945
2021-10-03,1.921685,0.6743134,4960.9463
2021-10-04,1.9218784,0.6854,4679.9501
2021-10-05,2.1387523,0.6912329,4726.9417
2021-10-06,2.0411001,0.6855294,4790.9466
2021-10-07,2.028078,0.6886134,4753.9429
