date,temp_c,dewpoint_c,abs_humidity_g_m3
2023-05-03,8.9,3.7,6.117550403670642
2023-05-04,13.6,7.6,7.885077263891834
2023-05-05,14.0,11.4,10.165768850633684
2023-05-06,14.4,11.3,10.084598407233841
2023-05-07,15.3,13.0,11.24363010338881
2023-05-08,13.9,11.8,10.441845063129588
2023-05-09,13.6,12.2,10.73201273435745
2023-05-10,12.6,11.2,10.081064908279117
2023-05-11,12.9,11.0,9.937685526328444
2023-05-12,14.9,11.5,10.201310956404946
2023-05-13,15.8,10.5,9.515928260169833
2023-05-14,12.9,9.9,9.234483378474689
2023-05-15,10.7,8.3,8.354266681825285
2023-05-16,10.2,5.7,7.002410309283107
2023-05-17,10.4,6.0,7.144260775702769
2023-05-18,9.6,4.3,6.365082041750612
2023-05-19,12.3,6.7,7.447500971336807
2023-05-20,14.7,8.6,8.407406626272461
2023-05-21,15.5,11.7,10.315616151396942
2023-05-22,15.4,12.9,11.166439869693765
2023-05-23,12.6,7.3,7.752139265631173
2023-05-24,11.3,6.9,7.577045958870567
2023-05-25,12.5,8.2,8.245455309817975
2023-05-26,12.1,6.7,7.4527227073377444
2023-05-27,13.5,8.4,8.328970207591349
2023-05-28,15.3,10.6,9.59618327688805
2023-05-29,12.5,6.9,7.545215203923448
2023-05-30,12.5,7.9,8.078960433771433
2023-05-31,15.3,10.9,9.789725955421677
2023-06-01,12.7,8.7,8.523718639018842
2023-06-02,13.5,7.3,7.727799738894498
2023-06-03,16.0,7.8,7.926998187021593
2023-06-04,15.7,8.2,8.154108738963147
2023-06-05,14.3,9.7,9.067080327576035
2023-06-06,15.2,10.5,9.535729047255327
2023-06-07,16.1,10.8,9.697936070815082
2023-06-08,17.0,11.4,10.060660091192357
2023-06-09,20.6,11.8,10.203682128923736
2023-06-10,23.4,12.5,10.58401761241662
2023-06-11,24.3,13.7,11.412748185659881
2023-06-12,24.2,10.6,9.308959361756713
2023-06-13,22.4,9.3,8.584630436109492
2023-06-14,21.0,8.7,8.283205755442923
2023-06-15,20.3,10.6,9.432677001936815
2023-06-16,19.7,9.9,9.020057949164025
2023-06-17,19.8,10.7,9.511927165298099
