latitude,longitude,rwi,error
20.9922139,-99.3273926,-1.005,0.493
32.4263397,-116.9274902,-0.053,0.474
21.279137,-98.9099121,-0.257,0.491
17.9264757,-92.2302246,-0.082,0.474
18.6358348,-96.0754395,-0.469,0.683
16.8360897,-92.5598145,-0.483,0.505
20.3137206,-99.173584,0.284,0.514
21.1357449,-103.4143066,-0.614,0.413
32.500496,-114.8181152,0.206,0.423
21.6267923,-103.0187988,-0.017,0.433
23.2312505,-109.7424316,-0.17,0.436
25.869109,-97.8771973,0.398,0.52
24.537129,-101.6345215,-0.404,0.383
23.1908622,-103.0187988,-0.511,0.454
19.9217124,-99.6350098,-0.542,0.497
17.0042615,-98.0969238,-0.729,0.415
17.5078668,-99.9865723,-0.404,0.4
25.0159284,-100.513916,-0.644,0.408
20.7047384,-98.9978027,-0.67,0.443
25.2347581,-107.3254395,-0.532,0.353
28.526622,-107.4572754,0.335,0.469
25.3142351,-107.4572754,-0.838,0.355
17.0672871,-96.8444824,0.266,0.52
21.606365,-98.2946777,-0.348,0.49
21.1972157,-99.6350098,-0.359,0.396
29.3151407,-106.8859863,-0.321,0.336
15.9718913,-96.7126465,-0.312,0.574
16.3306825,-91.7028809,-0.783,0.457
19.6115432,-102.4694824,0.976,0.464
20.5607954,-98.0090332,0.121,0.566
20.4578958,-87.286377,0.249,0.551
18.6774709,-99.9206543,-0.344,0.419
31.081165,-110.9069824,-0.091,0.387
18.4900283,-98.7341309,0.123,0.498
17.9473804,-97.9431152,-0.627,0.491
20.1900348,-102.1838379,0.24,0.391
15.3583559,-92.2961426,-0.72,0.557
30.6662655,-110.9289551,0.804,0.422
20.8280094,-87.9455566,-0.882,0.651
20.6225019,-101.3928223,0.425,0.462
18.0309744,-90.6262207,-0.21,0.469
20.7458399,-101.7443848,-0.385,0.419
26.3623416,-105.2819824,0.134,0.388
23.513626,-100.8435059,-0.385,0.379
20.8690774,-90.4064941,0.637,0.594
20.3755265,-97.8991699,-0.302,0.485
17.214264,-93.3728027,-0.304,0.438
17.8009957,-94.954834,-0.058,0.478
20.8485448,-99.2175293,-0.05,0.494
19.6736252,-101.8322754,-0.228,0.368
25.8097816,-100.0964355,0.575,0.487
